Postcode,Postcode,Food,Bank,Park
M1B,M1B,4,1,24
M1C,M1C,4,4,29
M1E,M1E,9,4,26
M1G,M1G,11,8,30
M1H,M1H,21,19,30
M1J,M1J,11,9,29
M1K,M1K,10,9,29
M1L,M1L,19,11,30
M1M,M1M,3,6,29
M1N,M1N,11,6,29
M1P,M1P,11,4,29
M1R,M1R,23,11,30
M1S,M1S,25,17,30
M1T,M1T,20,14,29
M1V,M1V,28,12,29
M1W,M1W,22,8,30
M1X,M1X,0,0,8
M2H,M2H,8,7,27
M2J,M2J,16,12,29
M2K,M2K,4,5,28
M2L,M2L,15,7,27
M2M,M2M,22,12,29
M2N,M2N,23,21,29
M2P,M2P,18,14,29
M2R,M2R,15,14,30
M3A,M3A,16,6,30
M3B,M3B,11,8,28
M3C,M3C,7,7,30
M3H,M3H,7,4,28
M3J,M3J,22,4,27
M3K,M3K,16,4,26
M3L,M3L,11,5,27
M3M,M3M,6,5,29
M3N,M3N,21,8,23
M4A,M4A,23,13,30
M4B,M4B,21,15,29
M4C,M4C,26,21,28
M4E,M4E,29,21,29
M4G,M4G,14,18,29
M4H,M4H,14,13,29
M4J,M4J,28,20,27
M4K,M4K,28,16,29
M4L,M4L,28,18,28
M4M,M4M,29,19,30
M4N,M4N,12,10,30
M4P,M4P,25,25,30
M4R,M4R,27,22,30
M4S,M4S,28,29,30
M4T,M4T,29,28,28
M4V,M4V,30,29,28
M4W,M4W,30,29,29
M4X,M4X,29,30,30
M4Y,M4Y,30,30,30
M5A,M5A,30,29,30
M5B,M5B,29,30,30
M5C,M5C,30,30,30
M5E,M5E,29,30,30
M5G,M5G,30,30,30
M5H,M5H,30,30,30
M5J,M5J,30,30,30
M5K,M5K,30,30,30
M5L,M5L,30,30,30
M5M,M5M,14,9,30
M5N,M5N,27,23,30
M5P,M5P,29,29,29
M5R,M5R,30,29,30
M5S,M5S,30,30,30
M5T,M5T,29,30,30
M5V,M5V,30,30,30
M5W,M5W,29,30,30
M5X,M5X,30,30,30
M6A,M6A,21,6,28
M6B,M6B,18,10,30
M6C,M6C,28,18,29
M6E,M6E,27,13,29
M6G,M6G,28,30,30
M6H,M6H,27,20,30
M6J,M6J,28,30,30
M6K,M6K,28,25,30
M6L,M6L,12,7,28
M6M,M6M,19,7,29
M6N,M6N,22,10,29
M6P,M6P,28,19,30
M6R,M6R,26,17,30
M6S,M6S,25,12,30
M7A,M7A,30,30,30
M7R,M7R,13,9,25
M7Y,M7Y,26,10,29
M8V,M8V,15,7,30
M8W,M8W,16,11,30
M8X,M8X,14,14,30
M8Y,M8Y,14,14,29
M8Z,M8Z,18,11,29
M9A,M9A,8,5,28
M9B,M9B,12,13,28
M9C,M9C,7,8,28
M9L,M9L,19,5,14
M9M,M9M,15,7,27
M9N,M9N,16,12,29
M9P,M9P,9,10,29
M9R,M9R,7,8,23
M9V,M9V,14,6,21
M9W,M9W,3,1,13
